company,education,experience,industry,jobdescription,jobid,joblocation_address,jobtitle,numberofpositions,payrate,postdate,site_name,skills,uniq_id,category
travelworld.com,"UG: Any Graduate - Any Specialization, Graduation Not Required PG:MBA/PGDM - Any Specialization, Advertising/Mass Communication, Marketing",0 - 1 yrs,Advertising / PR / MR / Event Management,"Job Description   Send me Jobs like this We are looking for: Part-time, individuals to help us in building good customer relationship & provide better services to them. We need friendly male/female candidates who have basic information of computer, passionate & willing to be successful with us. Attractive weekly/monthly perks and rewards for outstanding performance achiever. You may continue with your regular job & still work with us. No targets, no work pressure. Your efforts & your income! Salary:INR 2,75,000 - 5,50,000 P.A Industry: Advertising / PR / MR / Event Management Functional Area: Marketing , Advertising , MR , PR , Media Planning Role Category:Marketing Role:Direct Marketing Executive Keyskills Customer Relationship client relationship customer care customer relationship management Desired Candidate Profile Education- UG: Any Graduate - Any Specialization, Graduation Not Required PG:MBA/PGDM - Any Specialization, Advertising/Mass Communication, Marketing Please refer to the Job description above Company Profile: travelworld.com he fast growing companies in Travel & Tourism industry, offers you the best-in-class & economical holiday packages across world. From flight booking to hotels/resorts booking across world, we ensure to provide the deal as per your need, preference & budget. For reservations & bookings, contact us NOW! Phone number: Download PPT Photo 1   View Contact Details",80816001044,"Bengaluru/Bangalore , Mumbai , Hyderabad / Secunderabad , Delhi/NCR(National Capital Region) , Delhi , Jaipur , Chandigarh , Bhopal , Lucknow",Work part time for 2-3 Hours Daily & make a Decent Income.,500.0,"2,75,000 - 5,50,000 P.A",2016-08-08 18:43:34 +0000,,Marketing,34105ddb4590b845dceb97b9c0f0c067,pt
tourcop,"UG: Any Graduate - Any Specialization, Graduation Not Required PG:MBA/PGDM - Any Specialization, Advertising/Mass Communication, Marketing",0 - 1 yrs,Advertising / PR / MR / Event Management,"Job Description   Send me Jobs like this We are looking for: Part-time, individuals to help us in building good customer relationship & provide better services to them. We need friendly male/female candidates who have basic information of computer, passionate & willing to be successful with us. Attractive weekly/monthly perks and rewards for outstanding performance achiever. You may continue with your regular job & still work with us. No targets, no work pressure. Your efforts & your income! Salary:INR 2,75,000 - 5,50,000 P.A Industry: Advertising / PR / MR / Event Management Functional Area: Marketing , Advertising , MR , PR , Media Planning Role Category:Marketing Role:Direct Marketing Executive Keyskills Customer Relationship client relationship customer care customer relationship management Desired Candidate Profile Education- UG: Any Graduate - Any Specialization, Graduation Not Required PG:MBA/PGDM - Any Specialization, Advertising/Mass Communication, Marketing Please refer to the Job description above Company Profile: tourcop he fast growing companies in Travel & Tourism industry, offers you the best-in-class & economical holiday packages across world. From flight booking to hotels/resorts booking across world, we ensure to provide the deal as per your need, preference & budget. For reservations & bookings, contact us NOW! Phone number: Download PPT Photo 1   View Contact Details",80816001111,"Bengaluru/Bangalore , Mumbai , Hyderabad / Secunderabad , Delhi/NCR(National Capital Region) , Delhi , Jaipur , Chandigarh , Bhopal , Lucknow",Work part time and earn good Amount by Working 2 to 3 Hours.,500.0,"2,75,000 - 5,50,000 P.A",2016-08-08 18:43:36 +0000,,Marketing,769fda921e0c88f7af9b6aa348d08f47,pt
AQUASAIL DISTRIBUTION COMPANY PVT. LTD,"UG: Any Graduate PG:Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",2 - 5 yrs,Travel / Hotels / Restaurants / Airlines / Railways,"Job Description   Send me Jobs like this Responsibilities/Key Responsibility Areas We require skilled sailors who would be willing to devote time outside their regular working schedule. We could work out options that would suit your schedules, like weekend sailing and/or part time on weekdays. Commitments could vary from person to person. Sailors would require tocontribute as instructors for the Learn to Sail programme or as skippers for events like Splash, or even be a beach master. All skippers will go through Aquasail on water training program conducted by Shakeel Aquasail has been fortunate to work with great sailors who are currently well placed and handling successful and high powered roles in the corporate sector and in business. Even students have found time to be with us during our programs. All of them enjoy sailing with us and being a part of our vision of building the leisure boating industry. Qualification and Experience Dinghy and keel boat sailors - at least national level sailing and racing skills Maturity in terms of safety requirements and interaction Passion for sailing Salary: Not Disclosed by Recruiter Industry: Travel / Hotels / Restaurants / Airlines / Railways Functional Area: ITES , BPO , KPO , LPO , Customer Service , Operations Role Category:Voice Role:Associate/Senior Associate -(NonTechnical) Keyskills events part time leisure handling options sailing be who training national Desired Candidate Profile Education- UG: Any Graduate PG:Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Please refer to the Job description above Company Profile: AQUASAIL DISTRIBUTION COMPANY PVT. LTD Aquasail Distribution Company Pvt. Ltd Download PPT Photo 1   View Contact Details",90715500709,"Mumbai , Mumbai",Part time skippers,,Not Disclosed by Recruiter,2015-12-30 02:24:19 +0000,,ITES,faca0e330fb26214d35b04d3c88e544a,pt
Find Live Info Pvt Ltd,"UG: B.Tech/B.E. - Any Specialization PG:Any Postgraduate - Any Specialization, Post Graduation Not Required",0 - 1 yrs,Advertising / PR / MR / Event Management,"Job Description   Send me Jobs like this Excellent job opportunity for all part time job seekers and for freshers. Spend you valuable time through internet and get paid for that. Have you a good commitment in your life than join with us. When you Co-operate with us you can improve your life. Earn a good income in home .Share your time and get paid in home based job. Company : Mass Media Qualification:PLUS 2 and Graduate Age:Above 20 Male/Female Permanent Job Training Provided Salary-15000-25000 Contact Mr.Shiva Team Leader 9025275838 Salary:INR 1,00,000 - 1,50,000 P.A. Weekly Payment Available Industry: Advertising / PR / MR / Event Management Functional Area: Sales , Retail , Business Development Role Category:Other Role:Fresher Keyskills Data Entry Operation Part Time online data entry home based online job work from home online job home based internet job data entry jobs internet job computer operator jobs internet job free lancer jobs internet job Desired Candidate Profile Education- UG: B.Tech/B.E. - Any Specialization PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Please refer to the Job description above Company Profile: Find Live Info Pvt Ltd DATA SERVICES is established in the year 2012 with a vision of transforming an ordinary to extra ordinary thing. Find live info is one of our main project, it is a developing search engine site based at Chennai, India. With years of experience, we have crafted massive data collection job opportunities for public. FIND LIVE INFO a blend of experience, imagination, strategy and action to create digital experience that excite, challenge, inspire and engage users. FIND LIVE INFO provides other business opportunities which will be handled by experts of various fields. We have interesting combination of young and experienced Specialists Under the guidance of our Top Management we bloom towards success Download PPT Photo 1   View Contact Details",200516004072,Chennai,Simple Part Time Jobs At Home Weekly Payment Available,1200.0,"1,00,000 - 1,50,000 P.A. Weekly Payment Available",2016-05-20 16:59:06 +0000,,Sales,bc5e7d019fbd9cee70e85262740c27e2,pt
Find Live Info Pvt Ltd,UG: B.Tech/B.E. - Any Specialization PG:MBA/PGDM - Any Specialization,0 - 1 yrs,Fresher / Trainee / Entry Level,"Job Description   Send me Jobs like this Greetings to All. MASS MEDIA INTERNATIONAL PVT.LTD Work from home: We are providing online home based part time job for college students, house wives, job seekers, retired people etc JOB DESCRIPTION: 1. Search the data in the given site. 2. Copy the data 3. Paste the data 4. Submit the form PAYMENT DETAILS: 01 form per day 5/- 10 forms per day 50/- 100 forms per day 500/- Monthly you can earn 15000/- per month. Note : Call up and book your Free Demo Class. [Chennai And Tamil Nadu Peoples Only] IF INTERESTED KINDLY FEEL FREE TO CONTACT ME: Contact Mr.Shiva Team Leader 9025275838 Salary:INR 1,00,000 - 1,50,000 P.A. Weekly Payment Available Industry: Fresher / Trainee / Entry Level Functional Area: ITES , BPO , KPO , LPO , Customer Service , Operations Role Category:Other Role:Trainee Keyskills Data Entry Operation Part Time online data entry home based online job work from home online job home based internet job data entry jobs internet job computer operator jobs internet job free lancer jobs internet job Desired Candidate Profile Education- UG: B.Tech/B.E. - Any Specialization PG:MBA/PGDM - Any Specialization Please refer to the Job description above Company Profile: Find Live Info Pvt Ltd DATA SERVICES is established in the year 2012 with a vision of transforming an ordinary to extra ordinary thing. Find live info is one of our main project, it is a developing search engine site based at Chennai, India. With years of experience, we have crafted massive data collection job opportunities for public. FIND LIVE INFO a blend of experience, imagination, strategy and action to create digital experience that excite, challenge, inspire and engage users. FIND LIVE INFO provides other business opportunities which will be handled by experts of various fields. We have interesting combination of young and experienced Specialists Under the guidance of our Top Management we bloom towards success Download PPT Photo 1   View Contact Details",200516004101,Chennai,Wanted Part Time Workers In Online,1200.0,"1,00,000 - 1,50,000 P.A. Weekly Payment Available",2016-05-20 16:59:06 +0000,,ITES,bc84683f551a5158053687b7c3ecde69,pt
Platinus Technologies Private Limited,,6 - 11 yrs,IT-Software / Software Services,"Job Description   Send me Jobs like this Greetings!!! We are Looking for Part Time Online Supporter on Java with 5-15 yrs exp have exposure with below skill set: The back end environment is node.js, C++ and Object Oriented Programming (OOP). Architect level experience in JavaScript design patterns and front-end development Build web solutions using latest standard-based approaches (HTML5/CSS3/JavaScript) Develop node Addon with C++ Develop real-time communication using node.js & websocket All development environment in CENTOS or RedHat Linux Developing Functions for PostgreSQL or experience developing Stored Procedures for Oracle. Develop object oriented Javascript for Server-side & client-side Develop responsive HTML5 application Provide high quality UI code for web Interested Can send their updated profile to hire@platinustech.com Regards Sruthi Salary: Best in the Industry Industry: IT-Software / Software Services Functional Area: IT Software - Application Programming , Maintenance Role Category:Programming & Design Role:Software Developer Keyskills Part Time Desired Candidate Profile An ideal supporter will be providing online supports on part time basis. Location is not a constraint as this is an online job.Looking for someone who is flexible with timings and has good hands on experience and communication skills Company Profile: Platinus Technologies Private Limited http://www.platinustech.com Download PPT Photo 1   View Contact Details",261216002057,Hyderabad,Looking for Part Time Online Supporter On Java Required Urgently,2.0,Best in the Industry,2016-12-26 18:18:27 +0000,www.naukri.com,IT Software - Application Programming,9b51a02e76909c95a8ec918f3c5684cb,pt
ABROAD JOB VISA COMPANY hiring for MNCs,,4 - 9 yrs,IT-Software / Software Services,"Job Description   Send me Jobs like this SALESFORCE , Development, Administration and Customization and Integration to Train people online and offline and in corporates part time Salary:INR 6,00,000 - 12,00,000 P.A Industry: IT-Software / Software Services Functional Area: IT Software - ERP , CRM Role Category:Programming & Design Role:Team Lead/Technical Lead Keyskills Oracle Java .Net New Zealand salesforce cloud computing Desired Candidate Profile Please refer to the Job description above Company Profile: ABROAD JOB VISA COMPANY MNCs www.abroadjobvisa.com Download PPT Photo 1   View Contact Details",40816000489,"Bengaluru, Mumbai, Chennai, Pune, Hyderabad, Delhi NCR",Salesforce Trainers(part Time)-8555924783,15.0,"6,00,000 - 12,00,000 P.A",2016-12-24 18:18:31 +0000,www.naukri.com,IT Software - ERP,786bbee171f21dc133c9b20224386d54,pt
Travelworld.com,"UG: B.Tech/B.E. - Any Specialization PG:MBA/PGDM - Any Specialization, M.Tech - Any Specialization",0 - 3 yrs,BPO / Call Centre / ITES,"Job Description   Send me Jobs like this We Are Looking For: Part-Time And Full-Time Customer Support Individuals To Help Us In Building Good Service Relationship & Provide Better Services To Them. Salary:INR 1,50,000 - 4,50,000 P.A. as a bonus best performances Industry: BPO / Call Centre / ITES Functional Area: ITES , BPO , KPO , LPO , Customer Service , Operations Role Category:Back Office/Web/Transaction Processing Role:Team Leader -(Technical) Keyskills Customer Support Part Time work from home freelance part time job work from home job looking for job house wife freelance job home based job self employed job technical recruiters job Desired Candidate Profile Please refer to the Job description above Education- UG: B.Tech/B.E. - Any Specialization PG:MBA/PGDM - Any Specialization, M.Tech - Any Specialization Company Profile: Travelworld.com Club boosts common-men to self stand towards their health, wellness & financial. Download PPT Photo 1   View Contact Details",261216004419,"Lucknow, Hyderabad",NEED 100 Employees FOR PART TIME ONLY Direct Company-9154317188,100.0,"1,50,000 - 4,50,000 P.A. as a bonus best performances",2016-12-26 18:18:37 +0000,www.naukri.com,ITES,1a046b79879baac83f19f336050a3c6a,pt
IQ Business Systems Pvt. Ltd.,UG: Any Graduate - Any Specialization PG:Any Postgraduate,1 - 2 yrs,Publishing,"Job Description   Send me Jobs like this - Writing unique & engaging content, articles, blog posts, newsletters etc.. - Experience in SEO centered content writing - Experience using content management and publishing tools - Research &write cutting edge content for web & social media Salary: Not Disclosed by Recruiter Industry: Publishing Functional Area: Journalism , Editing , Content Role Category:Content Development Role:Content Developer Keyskills Content Writing Article writing Unique content writer blog posts Digital Marketing Market Research Promotional campaigns Blogs Articles Social Media Promotions Copy editing proof reading Desired Candidate Profile Minimum 1 year exp. in content writing Good English comprehension skills Good Market research skills Capable to write high quality content for wide range of topics Be aware of current trends in content writing and social media/Digital Media Education- UG: Any Graduate - Any Specialization PG:Any Postgraduate Company Profile: IQ Business Systems Pvt. Ltd. IQ Systems is a Leading provider of online trainings to the students in all IT Tech. platforms across the World but mainly to The USA. IQ's primary business model is IT Training but we also into US Staffing and Consulting Services. Download PPT Photo 1   View Contact Details",121016004585,Hyderabad,SEO Content Writer Full Time / Part Time / Free Lancer,2.0,Not Disclosed by Recruiter,2016-12-24 18:18:38 +0000,www.naukri.com,Journalism,e99712423844d8fcfc72337f79e39908,pt
UrbanPro,UG: Any Graduate - Any Specialization,0 - 5 yrs,Education / Teaching / Training,"Job Description   Send me Jobs like this UrbanPro.com is having an excellent opportunity for Teachers who Specializing in coaching UPSC Exams Salary: Not Disclosed by Recruiter Industry: Education / Teaching / Training Functional Area: Teaching , Education , Training , Counselling Role Category:Teachers Role:Teacher/ Private Tutor Keyskills Teaching Coaching Part Time Desired Candidate Profile Please refer to the Job description above Education- UG: Any Graduate - Any Specialization Company Profile: UrbanPro UrbanPro is India's largest online marketplace for hiring Tutors,Trainers & Training Institutes.We have helped over 600000 students across 1000+ Categories.Academic tuition is amongst major categories generating large learning requests from Download PPT Photo 1   View Contact Details",281116001078,"Bengaluru, Mumbai, Chennai, Pune, Hyderabad, Delhi, Delhi NCR, Faizabad, Gurgaon",Immediately Require Full Time/ Part Time - UPSC Exams Coaching Teacher,,Not Disclosed by Recruiter,2016-12-24 18:18:40 +0000,www.naukri.com,Teaching,8745286bf2110569051bc13f825be26d,pt
Cool Trip Vacations,"UG: Any Graduate - Any Specialization, B.Tech/B.E. - Any Specialization, Diploma - Any Specialization, B.Sc - Any Specialization, B.Com - Commerce PG:Any Postgraduate, MBA/PGDM - Any Specialization, M.Tech - Any Specialization, MCA - Computers, MS/M.Sc(Science) - Any Specialization Doctorate:Any Doctorate - Any Specialization",0 - 5 yrs,Travel / Hotels / Restaurants / Airlines / Railways,"Job Description   Send me Jobs like this COOL TRIP VACATIONS is an ISO Certified tourism based company need candidates for part time /work from home who spend 2-3 hrs on daily basis and earn weekly. No Target and no time boundation Kindly contact 9873399230 whats app (Senior Hr) Salary:INR 3,00,000 - 5,00,000 P.A Industry: Travel / Hotels / Restaurants / Airlines / Railways Functional Area: Executive Assistant , Front Office , Data Entry Role Category:Other Role:Stenographer/Data Entry Operator Keyskills Part Time work from home WFH freelance home based BTECH MBA BA BCOM bca bbm BBA BE IT Software - E - Commerce MCOM home based job Medical Doctors nurse housewive receptionist graduate postgraduate Desired Candidate Profile Please refer to the Job description above Education- UG: Any Graduate - Any Specialization, B.Tech/B.E. - Any Specialization, Diploma - Any Specialization, B.Sc - Any Specialization, B.Com - Commerce PG:Any Postgraduate, MBA/PGDM - Any Specialization, M.Tech - Any Specialization, MCA - Computers, MS/M.Sc(Science) - Any Specialization Doctorate:Any Doctorate - Any Specialization Company Profile: Cool Trip Vacations Cool Trip vacations is a tourism company which provide all kind of tourism services all over the world on very best price in market. We have Hotel bookings, tour packages, flights tickets, taxi and volvo bus services domestic and international level. Download PPT Photo 1   View Contact Details",231216002969,"Bengaluru, Hyderabad, Mumbai","Online Simple Part Time,home Based Jobs /part TIME (9873399230)",1000.0,"3,00,000 - 5,00,000 P.A",2016-12-23 18:18:55 +0000,www.naukri.com,Executive Assistant,0eff03583cbbe5fda62a0d65d3b1563b,pt
all for kids,UG: Any Graduate - Any Specialization PG:Post Graduation Not Required,0 - 5 yrs,Education / Teaching / Training,"Job Description   Send me Jobs like this TEACHERS: India's leading classes in English Elocution need energetic Women in Hyderabad & Secundrabad. Part Time Work for experienced as well as those new to Teaching. Best in industry pay. Email resume: elocutionteachers@gmail.com Salary: Not Disclosed by Recruiter Industry: Education / Teaching / Training Functional Area: Teaching , Education , Training , Counselling Role Category:Teachers Role:Teacher/ Private Tutor Keyskills Teaching Part Time Desired Candidate Profile Dedicated, committed, loves to teach kids. Education- UG: Any Graduate - Any Specialization PG:Post Graduation Not Required Company Profile: all for kids India's leading classes in English Elocution & Public speaking Download PPT Photo 1   View Contact Details",300613000883,Hyderabad,Part Time English Teachers - Hyderabad (kondapur) only Women,,Not Disclosed by Recruiter,2016-12-24 18:18:55 +0000,www.naukri.com,Teaching,f51b9dcebf03a48df77866b909abc0e6,pt
UrbanPro,,0 - 5 yrs,Education / Teaching / Training,"Job Description   Send me Jobs like this UrbanPro.com is having an excellent opportunity for Teachers who Specializing in coaching All Bank Exams Salary: Not Disclosed by Recruiter Industry: Education / Teaching / Training Functional Area: Teaching , Education , Training , Counselling Role Category:Teachers Role:Trainer Keyskills Teaching Coaching Part Time Desired Candidate Profile Please refer to the Job description above Company Profile: UrbanPro UrbanPro is India's largest online marketplace for hiring Tutors,Trainers & Training Institutes.We have helped over 600000 students across 1000+ Categories.Academic tuition is amongst major categories generating large learning requests from students Download PPT Photo 1   View Contact Details",221116006360,"Bengaluru, Mumbai, Chennai, Pune, Hyderabad, Chandigarh, Delhi, Faridabad, Ghaziabad",Immediately Require Full Time/ Part Time - IBPS Exam Coaching Teacher,,Not Disclosed by Recruiter,2016-12-24 18:19:04 +0000,www.naukri.com,Teaching,0beae0d1ef82ca7788a4a01cc5fea532,pt
Tourcop Services,,0 - 0 yrs,Travel / Hotels / Restaurants / Airlines / Railways,"Job Description   Send me Jobs like this Tourcop Services is an ISO Certified tourism based company need candidates for part time /work from home who spend 2-3 hrs on daily basis and earn weekly. No Target and No timings to work. We Provide Training and lifelong support. Contact-9538034581. Salary:INR 4,00,000 - 5,00,000 P.A. Good Incentives Industry: Travel / Hotels / Restaurants / Airlines / Railways Functional Area: Other Role:Other Keyskills Freelancing Training Part Time work from home freelance part time job fresher part leave Business Development Desired Candidate Profile Please refer to the Job description above Company Profile: Tourcop Services Exists to understand the Travel needs of the customers & provide them the best-in-class services. We see ourselves as a strategic brand rather than a vendor. We engage with customers to establish and maintain long-term and high touch relationships. Download PPT Photo 1   View Contact Details",111216001047,"Bengaluru, Hyderabad, Ahmedabad",Freelancer/part Time/home Based Job Opportunity-7795333767,300.0,"4,00,000 - 5,00,000 P.A. Good Incentives",2016-12-23 18:19:08 +0000,www.naukri.com,,82b99d753e39626de79ba3637455978a,pt
Cool Trip Vacations,"UG: Any Graduate - Any Specialization, B.Tech/B.E. - Any Specialization, Diploma - Any Specialization, B.Sc - Any Specialization, B.Com - Commerce PG:Any Postgraduate, MBA/PGDM - Any Specialization, M.Tech - Any Specialization, MCA - Computers, MS/M.Sc(Science) - Any Specialization Doctorate:Any Doctorate - Any Specialization",0 - 5 yrs,Travel / Hotels / Restaurants / Airlines / Railways,"Job Description   Send me Jobs like this COOL TRIP VACATIONS is an ISO Certified tourism based company is looking for part time home based to promote its services online . Salary would be on weekly basis, earn 6k to 10k weekly. No Target Kindly contact 9873399230 Whats app ( Senior Hr ) Salary:INR 3,00,000 - 5,00,000 P.A Industry: Travel / Hotels / Restaurants / Airlines / Railways Functional Area: Travel , Tours , Ticketing , Airlines Role Category:Ticketing/Travel/Documentation Role:Tour Mngmt Executive Keyskills Part Time work from home WFH freelance home based BTECH MBA BA BCOM bca bbm BBA BE IT Software - E - Commerce MCOM home based job Medical Doctors nurse housewive receptionist graduate postgraduate Desired Candidate Profile Please refer to the Job description above Education- UG: Any Graduate - Any Specialization, B.Tech/B.E. - Any Specialization, Diploma - Any Specialization, B.Sc - Any Specialization, B.Com - Commerce PG:Any Postgraduate, MBA/PGDM - Any Specialization, M.Tech - Any Specialization, MCA - Computers, MS/M.Sc(Science) - Any Specialization Doctorate:Any Doctorate - Any Specialization Company Profile: Cool Trip Vacations Cool Trip vacations is a tourism company which provide all kind of tourism services all over the world on very best price in market. We have Hotel bookings, tour packages, flights tickets, taxi and volvo bus services domestic and international level. Download PPT Photo 1   View Contact Details",231216000979,"Bengaluru, Mumbai, Chennai, Pune, Hyderabad, Ahmedabad",JOBS part time / home Based / work from Home/ Fresher / exp / Freelanc,1000.0,"3,00,000 - 5,00,000 P.A",2016-12-23 18:19:10 +0000,www.naukri.com,Travel,89e7833739ce6a5d6fb28a2c767d6385,pt
Tourcop,"UG: B.Tech/B.E. - Any Specialization PG:MBA/PGDM - Any Specialization, M.Tech - Any Specialization",0 - 1 yrs,Advertising / PR / MR / Event Management,"Job Description   Send me Jobs like this We Are Looking For: Part-Time And Full-Time Customer Support Individuals To Help Us In Building Good Service Relationship & Provide Better Services To Them. Salary:INR 2,25,000 - 4,75,000 P.A Industry: Advertising / PR / MR / Event Management Functional Area: Marketing , Advertising , MR , PR , Media Planning Role Category:Marketing Role:Direct Marketing Executive Keyskills Customer Support Part Time freelance part time job work from home job looking for job house wife freelance job home based job self employed job technical recruiters job hr executives job Desired Candidate Profile Please refer to the Job description above Education- UG: B.Tech/B.E. - Any Specialization PG:MBA/PGDM - Any Specialization, M.Tech - Any Specialization Company Profile: Tourcop Club boosts common-men to self stand towards their health, wellness & financial. Download PPT Photo 1   View Contact Details",231216000713,"Hyderabad, Bengaluru, Lucknow",Openings for Part Time Job (3 Hours Per Day)-9502349603,300.0,"2,25,000 - 4,75,000 P.A",2016-12-23 18:19:18 +0000,www.naukri.com,Marketing,c60de5e45f347b5c319958c84448d831,pt
Cool Trip Vacations,"UG: Any Graduate - Any Specialization, B.Tech/B.E. - Any Specialization, Diploma - Any Specialization, B.Sc - Any Specialization, B.Com - Commerce PG:Any Postgraduate, MBA/PGDM - Any Specialization, M.Tech - Any Specialization, MCA - Computers, MS/M.Sc(Science) - Any Specialization Doctorate:Any Doctorate - Any Specialization",0 - 5 yrs,Travel / Hotels / Restaurants / Airlines / Railways,"Job Description   Send me Jobs like this COOL TRIP VACATIONS is an ISO Certified tourism based company is looking for part time home based to promote its services online . Salary would be on weekly basis, earn 6k to 10k weekly. No Target Kindly contact 9873399230 Whats app ( Senior Hr ) Salary:INR 3,00,000 - 5,00,000 P.A Industry: Travel / Hotels / Restaurants / Airlines / Railways Functional Area: Travel , Tours , Ticketing , Airlines Role Category:Ticketing/Travel/Documentation Role:Tour Mngmt Executive Keyskills Part Time work from home WFH freelance home based BTECH MBA BA BCOM bca bbm BBA BE IT Software - E - Commerce MCOM home based job Medical Doctors nurse housewive receptionist graduate postgraduate Desired Candidate Profile Please refer to the Job description above Education- UG: Any Graduate - Any Specialization, B.Tech/B.E. - Any Specialization, Diploma - Any Specialization, B.Sc - Any Specialization, B.Com - Commerce PG:Any Postgraduate, MBA/PGDM - Any Specialization, M.Tech - Any Specialization, MCA - Computers, MS/M.Sc(Science) - Any Specialization Doctorate:Any Doctorate - Any Specialization Company Profile: Cool Trip Vacations Cool Trip vacations is a tourism company which provide all kind of tourism services all over the world on very best price in market. We have Hotel bookings, tour packages, flights tickets, taxi and volvo bus services domestic and international level. Download PPT Photo 1   View Contact Details",221216000404,"Hyderabad, Ahmedabad, Mangalore, Nagpur, Nasik, Navi Mumbai",Hiring 1000 Candidates for part time job/ home Based Work::9873399230,1000.0,"3,00,000 - 5,00,000 P.A",2016-12-22 18:19:23 +0000,www.naukri.com,Travel,e0ee67d493c976cd85ffe98772003fc1,pt
SRL Limited,"UG: MBBS - Medicine, Diploma - Any Specialization PG:Medical-MS/MD - Any Specialization, Pathology Doctorate:Any Doctorate - Any Specialization",1 - 6 yrs,Medical / Healthcare / Hospitals,"Job Description   Send me Jobs like this Day to day Administration. Reviewing slides and reports. Ensuring turn around time of Laboratory tests. Making standard operating procedures for tests. Conducting Training sessions/ seminars for staff. Managing Human Resources. Staff rotation to decrease intellectual fatigue. Interpersonal relationship management to tackle unpleasant situations. Conducting yearly performance appraisals of the scientific staff. Conducting interviews for new recruitments. Managing materials & resources. Decreasing the cost per test by sourcing kits at optimal prices. Monitoring actual consumption of stocks versus the number of tests performed. Ensuring competitive market price of tests through effective management of materials and resources. Customer Care: Resolution of technical queries from patients, doctors and collection centers Furnishing literature support for disputed results, if needed Quality Assurance: Presenting the departments for International Audits as and when necessary Product Management: Making marketing inputs for sales staff about various laboratory tests Conducting CMEs for doctors in order to increase awareness Conducting training sessions for sales staff Participating in pre-launch, launch and post-launch activities of new products Should have worked on Quality Documents for NABL Salary: Best in the Industry Industry: Medical / Healthcare / Hospitals Functional Area: Medical , Healthcare , R&D , Pharmaceuticals , Biotechnology Role Category:Medical Professional Role:Pathologist Keyskills biochemistry Laboratory Management microbiology cytology Histopathology Desired Candidate Profile Should have pleasing personality and good communication skill Education- UG: MBBS - Medicine, Diploma - Any Specialization PG:Medical-MS/MD - Any Specialization, Pathology Doctorate:Any Doctorate - Any Specialization Company Profile: SRL Limited SRL Diagnostics is a leading and reputed Pathology Lab network. We are the only Pathology Lab Network in India to have 11 Reference Labs, 4 Centers of Excellence and 273* Network Laboratories with a footprint spanning over 6700 Collection Points. We offer more than 3500 tests, using the most advanced state-of-the-art technology supported by our highly skilled personnel. Today, SRL is conducting more than 107,000 tests in a day, ranging from simple to high-end tests. Through its network of laboratories, SRL offers an all-inclusive collection of diagnostic facilities including an extensive range of specialties in Pathology services. In addition, SRL also offers a host of other services like Radiology modalities including Computed Tomography (CT), Diagnostic Radiology (X- Ray), Magnetic Resonance Imaging (MRI), Ultrasound and Positron Emission Tomography (""PET""). SRL is known to be one of the most renowned Pathology Lab centres that has a dedicated R&D division, which is ISO certified and also recognized by the Government of India's Department of Scientific and Industrial Research. SRL is a trusted name in the field of Pathology services providing quality diagnostic, prognostic and monitoring services to other path labs, hospitals and patients. It also provides Clinical Research services by conducting Phase I-IV clinical trials for Multinational and Indian pharmaceutical and biotechnological companies, thereby supporting their international regulatory submissions. Download PPT Photo 1   View Contact Details",201216003339,Hyderabad,Consultant Pathologist - Part Time (birthplacehospital),1.0,Best in the Industry,2016-12-20 18:19:30 +0000,www.naukri.com,Medical,a432e6f2198639ec558fc23298501794,pt
Cool Trip Vacations,"UG: Any Graduate - Any Specialization, B.Tech/B.E. - Any Specialization, Diploma - Any Specialization, B.Sc - Any Specialization, B.Com - Commerce PG:Any Postgraduate, MBA/PGDM - Any Specialization, M.Tech - Any Specialization, MCA - Computers, MS/M.Sc(Science) - Any Specialization Doctorate:Any Doctorate - Any Specialization",0 - 5 yrs,Travel / Hotels / Restaurants / Airlines / Railways,"Job Description   Send me Jobs like this COOL TRIP VACATIONS is an ISO Certified tourism based company need candidates for part time /work from home who spend 2-3 hrs on daily basis and earn weekly. No Target and no time boundation Contact 9873399230 whats app Salary:INR 3,00,000 - 5,00,000 P.A Industry: Travel / Hotels / Restaurants / Airlines / Railways Functional Area: Travel , Tours , Ticketing , Airlines Role Category:Ticketing/Travel/Documentation Role:Tour Mngmt Executive Keyskills Part Time work from home WFH freelance home based BTECH MBA BA BCOM bca bbm BBA BE IT Software - E - Commerce MCOM home based job Medical Doctors nurse housewive receptionist graduate postgraduate Desired Candidate Profile Please refer to the Job description above Education- UG: Any Graduate - Any Specialization, B.Tech/B.E. - Any Specialization, Diploma - Any Specialization, B.Sc - Any Specialization, B.Com - Commerce PG:Any Postgraduate, MBA/PGDM - Any Specialization, M.Tech - Any Specialization, MCA - Computers, MS/M.Sc(Science) - Any Specialization Doctorate:Any Doctorate - Any Specialization Company Profile: Cool Trip Vacations Cool Trip vacations is a tourism company which provide all kind of tourism services all over the world on very best price in market. We have Hotel bookings, tour packages, flights tickets, taxi and volvo bus services domestic and international level. Download PPT Photo 1   View Contact Details",211216000008,"Bengaluru, Mumbai, Hyderabad",PART Time/home Based Job/freelancer/work from Home::9873399230,1000.0,"3,00,000 - 5,00,000 P.A",2016-12-21 18:19:32 +0000,www.naukri.com,Travel,c8bc589f87225e69e68fb4dd0d41fab7,pt
